CardName,Amount
Aether Hub,4
Blooming Marsh,4
Blossoming Defense,4
Botanical Sanctum,4
Bristling Hydra,4
Fatal Push,4
Fetid Pools,4
Forest,4
Foul Orchard,4
Glint-Sleeve Siphoner,4
Hadana's Climb,4
Hashep Oasis,4
Ifnir Deadlands,4
"Rishkar, Peema Renegade",4
Servant of the Conduit,4
Swamp,4
Verdurous Gearhulk,4
Vraska's Contempt,4
Walking Ballista,4
Winding Constrictor,4
Arguel's Blood Fast,4
Cartouche of Ambition,4
Duress,4
Essence Scatter,4
Fatal Push,4
Negate,4
Thrashing Brontodon,4
Vraska's Contempt,4
